race_id,person,bioguide,party,is_incumbent,event_type,event_date,known_by,date_basis,incumbent_on_ballot_after,source_url,notes,_confidence,_left_censored,_right_censored,_resolution_days,_days_present,_gaps,_last_seen,_pages,_section,_race_why,_evidence,_flag,_suggested_action,_needs_human
HOU_MD_05_2026,Steny Hoyer,,,,retiring,,2026-01-08,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,137,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# MD-5: Steny Hoyer is retiring.,,,
HOU_FL_16_2026,Vern Buchanan,,,,retiring,,2026-01-27,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings; https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,158,0,2026-08-23,2026 United States House of Representatives election ratings; 2026 United States House of Representatives elections,Election ratings > Latest published ratings for competitive seats; Retirements > Republican,ushr template,# FL-16: Vern Buchanan is retiring.,,,
HOU_NV_02_2026,Mark Amodei,,,,retiring,,2026-02-06,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings; https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,148,0,2026-08-23,2026 United States House of Representatives election ratings; 2026 United States House of Representatives elections,Election ratings > Latest published ratings for competitive seats; Retirements > Republican,ushr template,# NV-2: Mark Amodei is retiring.,,,
HOU_SC_01_2026,,,,,retiring,,2026-02-10,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings,,high,,yes,3,84,0,2026-08-23,2026 United States House of Representatives election ratings,Election ratings > Latest published ratings for competitive seats; Party listings > Republican-held seats,district link,# South Carolina 1: Open seat,seat_level_confirmation,not an event — the ratings page marking the seat open AFTER the incumbent announced. Useful only as a cross-check on incumbent_on_ballot_after,yes
HOU_MT_01_2026,Ryan Zinke,,,,retiring,,2026-03-02,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings; https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,124,0,2026-08-23,2026 United States House of Representatives election ratings; 2026 United States House of Representatives elections,Election ratings > Latest published ratings for competitive seats; Retirements > Republican,ushr template,! MT-1 | Ryan | Zinke (retiring) | data-sort-value=52.3 | 52.3% R,,,
HOU_TX_02_2026,Dan Crenshaw,,,,lost_primary,,2026-03-04,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings; https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,122,0,2026-08-23,2026 United States House of Representatives election ratings; 2026 United States House of Representatives elections,Election ratings > Latest published ratings for competitive seats; Incumbents defeated > In primary elections > Republic,ushr template,# TX-2: Dan Crenshaw lost renomination to Steve Toth.,,,
HOU_UT_04_2026,Burgess Owens,,,,retiring,,2026-03-04,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,82,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr template,# UT-4: Burgess Owens is retiring.,,,
HOU_CA_48_2026,Darrell Issa,,,,retiring,,2026-03-06,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings; https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,120,0,2026-08-23,2026 United States House of Representatives election ratings; 2026 United States House of Representatives elections,Election ratings > Latest published ratings for competitive seats; Retirements > Republican,ushr template,# CA-48: Darrell Issa is retiring.,,,
HOU_CA_48_2026,,,,,retiring,,2026-03-07,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings,,high,,yes,3,77,0,2026-08-23,2026 United States House of Representatives election ratings,Election ratings > Latest published ratings for competitive seats; Party listings > Republican-held seats,district link,# California 48: Open seat,seat_level_confirmation,not an event — the ratings page marking the seat open AFTER the incumbent announced. Useful only as a cross-check on incumbent_on_ballot_after,yes
HOU_MT_01_2026,,,,,retiring,,2026-03-07,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings,,high,,yes,3,77,0,2026-08-23,2026 United States House of Representatives election ratings,Election ratings > Latest published ratings for competitive seats; Party listings > Republican-held seats,district link,# Montana 1: Open seat,seat_level_confirmation,not an event — the ratings page marking the seat open AFTER the incumbent announced. Useful only as a cross-check on incumbent_on_ballot_after,yes
HOU_OK_01_2026,Kevin Hern,,,,seeking_other_office,,2026-03-11,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,75,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr template,# OK-1: Kevin Hern is retiring to run for the U.S. Senate.,has_generic_twin,keep this row; its twin is the drop,
HOU_MO_06_2026,Sam Graves,,,,retiring,,2026-03-30,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,4,61,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr template,# MO-6: Sam Graves is retiring.,,,
